required_skills,job_title
"analysis, development, lifecycle, management, pmp, project management",solutions architect
"sap hana, sap hana",software configuration jobs
"case, database, development, excel, management, metrics, ms office, quality assurance",threat analyst
"algorithms, hadoop, java, javascript, mysql, mysql, ruby",network engineer
"analysis, database, development, excel, management, ms office, oracle, outlook, pl, sql, powerpoint, security, sql, unix, visual basic, windows",business intelligence developer
"development, protocols",business intelligence developer
technical,mainframe developer
replication,database administrator
"data analysis, microsoft sql server, ssis",database developer
"rhel, red hat",business intelligence developer
metrics,database developer
"analysis, automated, business requirements, development, javascript, lifecycle, linux, management, mongodb, nosql, sdlc, unix, ux",javascript developer
"project management, etl, application support",it project manager
"vmware, strategy, ad, dns, pki, design, architect",network engineer
"java, restful web services, python, etl, git, mongo, sql",java developer
"java, core java",pl sql developer
"analysis, css, development, erp, html, http, lifecycle, management, oracle, supply chain",business intelligence manager
"clinical, pharmaceutical, medical",data manager
"agile, database, exchange, git, java, linux, nosql, python, sql",network security engineer
supply chain management,business intelligence manager
"agile, analysis, architecture, c++, development, javascript, linux, management, nosql, python, sql, unix",software engineer
"angularjs, architecture, automated, cms, content management, development, hadoop, html, http, java, javascript, management, python, sql",business intelligence developer
"pmp, it infrastructure",data manager
"database, development, excel, exchange, fda, laboratory, management, mechanical, powerpoint",penetration tester
"analysis, blueprint, business requirements, development, lifecycle, sap, sap basis, scripts, security",business intelligence analyst
"six sigma, data",security incident response engineer
"edi, library, management, qa, sql, supply chain, test plan, tibco",business intelligence analyst
"business requirements, c++, css, dns, html, http, linux, management, networks, perl, python, ruby, security, unix",business intelligence developer
"algorithms, java",software engineer
"customer service, database, excel, management, outlook, security",data assistant
"javascript, angular, ajax, css, java, oo",web developer
"linux, fice",business intelligence developer
"xml, wpf, c#, .net , agile",business intelligence developer
"crm, database, scrum, sdlc, sql",integration engineer
document management,technical consultant
sap abap,oracle database manager
bi,it project manager
"vmware, vdi",firmware engineer
"c#, mvc, .net, asp.net, microsoft sql, mysql, web services, soap, json",web developer
"html5, css, npm",data migration lead
"ruby, javascript, html, css",ruby on rails developer
"obiee, pmp",business intelligence manager
".net , jquery",net coordinator
business intelligence,scrum master
risk assessment,director information security
"oracle, e, business, pl, sql",oracle dba
"sap, fice, peoplesoft, oracle, business development",ruby on rails developer
"linux, devops, php, jenkins, git",manager linux
"business analysis, requirements, pharmaceutical",business analyst
"test cases, qtp",business intelligence analyst
"security, architect",microstrategy architect
"unix, linux , ibm",business intelligence analyst
"java, linux, unix, oracle, sql, agile methodology",java developer
"infrastructure, puppet, chef, ansible, jenkins, splunk, jboss",director decision support
"linux, tcp, ip, ccna",linux system administrator
"jd edwards, jde, distribution, implementation, upgrade, support, functional, wms",technical consultant
"sharepoint, workflows, administration, crm, cms, html, css, javascript, admin",sharepoint jobs
"cobol, datastage",crm consultant
"java, restful web services",software engineer
sales,incident manager
"windows server 2008, 2012",gis administrator
"javascript, jquery, html5 , php, java development",web developer
"ssis, sql",data scientist
data architecture,data architect
"design , java, html, ajax, css, c#, sql server",data manager
ios,hadoop developer
"bi, ab initio, project management, informatica, etl, big data, sql",data migration lead
"2, hybris",security architect
"customer support, javascript, xml, json, technical support, application support, windows server, linux, unix, t, sql",technical support manager
network,software product manager
"big data, back, end, java, nosql, python",big data engineer
"java, j2ee, angular.js",java developer
"design, development",vp information technology
"xamarin, ios, roid, c#",business intelligence developer
"sfdc, visualforce",sql developer
"angular, node, javascript, html5, css3, json, scrum",web developer
roid,technical support specialist
"business analysis, agile",business analyst
"ssrs, sql, bi, healthcare",web developer
sql,threat analyst
"pl, sql, sql, jsf, web services, subversion, weblogic, rdbms",oracle database manager
"java, unix, linux, mysql",java developer
"threat, malware, soc",threat analyst
"restful, java, soap",java developer
"cisco , switches",information systems technician
"sql, postgres, configuration, administration, c++, python, linux, bash, subversion",database developer
"cobol, vb",business intelligence developer
"javascript, bootstrap",ux designer
"hadoop, mapreduce, pig, hive, bigdata, datawarehouse, business intelligence, hadoop, mapreduce, pig, hive, bigdata, datawarehouse, business intelligence, hadoop, mapreduce, pig, hive, bigdata, datawarehouse, business",hadoop developer
python,information assurance engineer
digital,data coordinator
"security, management, vulnerability assessment, cobit, hipaa",security engineer
"system, hardware, nas, security+, vmware, iis, vpn",systems administrator
desktop support,threat analyst
"salesforce, sfdc, apex, visualforce",business intelligence developer
"windows, linux, technician, ethernet, network, configuration",information systems technician
"bootstrap, html5, css3, angular.js",hadoop developer
ssrs,ss developer
"html, indesign, photoshop",technical support specialist
"asp.net, mvc, angularjs, sql server, webapi",web developer
"bsa, bi",business systems analyst
"linux, unix, apache",network engineer
"infrastructure, office, migration",data architect
"devops, puppet, chef, aws, perl, python, powershell, ci, cd, jenkins, maven",business intelligence developer
ios,ios developer
"chef, puppet, aws, jenkins, python, ruby",network security engineer
desktop,devops engineer
"systems administration, security analysis",business intelligence analyst
"asp.net, aws",net developer
firewalls,network engineer
"security, azure, owasp",security engineer
configuration management,information management specialist
magento,web developer
"service desk, active directory, citrix",help desk jobs
active directory,security administrator
"agile, lean, axure, six sigma",ux designer
product management,data manager
"c++, ios, embedded, ui, swift",ios developer
".net, j2ee, microsoft sharepoint, agile",sharepoint developer
"architect, etl, informatica, java, olap",technical service representative
"cissp, cisa, giac, iam, network",business intelligence analyst
s,business intelligence developer
"pci, security, cissp",business intelligence manager
"desktop support, on",decision support analyst
"c#, .net, e, commerce, web services, sql server",business intelligence developer
"automation, applications, hardware, email, applications, visual basic, powershell, exchange, crystal reports",network security engineer
